TAHUN 2016,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
2800,5171,7695,1498,7850,4504
4582,9586,8206,1428,2100,2772
1094,5003,7383,4135,2986,504
964,5456,2352,6173,6470,5706
7151,7083,903,5605,4548,540
8913,4353,5878,376,7316,2402
4561,9818,260,8701,4922,235
9153,3692,4206,6265,1865,1985
9799,1603,5936,840,4282,7359
4824,2469,9948,3178,9329,7970
9739,9127,6978,9607,677,5940
9742,7681,614,2245,6093,5112
420,4477,7208,941,3623,1290
895,4815,5291,4667,7625,8967
4513,2138,3965,9627,7640,8970
758,9946,4254,1489,9944,7713
1592,585,1090,2363,9245,9784
2508,1818,7434,2630,5547,7893
6109,1525,977,6783,858,8311
5732,4625,6235,6345,5637,5836
48,9726,9261,421,5441,8118
6405,5471,648,5217,2668,3851
8762,3628,4782,1218,5697,4757
8401,2085,6356,7316,3916,6944
7566,583,1777,9280,3610,8345
4852,6531,5379,5262,2271,2620
6278,943,9386,7845,5159,1761
9276,8226,5102,7409,1178,4237
7177,3944,6871,8260,7289,1734
TAHUN 2021,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
5110,5805,9229,6310,712,9266
1773,6917,3179,8652,1531,351
3755,7972,8020,710,3379,2443
7937,9638,356,9630,9946,3514
5647,1274,1597,8391,5759,6968
7456,1531,9039,8441,3006,6780
9316,7760,1667,2139,8706,621
3186,8865,9561,3450,9608,8184
5878,8173,1268,8189,8481,3742
4617,1766,6228,1147,4850,1928
7354,6247,6082,992,6786,5394
1830,8494,2981,7621,2323,6983
7224,6364,4428,4010,364,2076
8669,3409,5734,8969,8782,3046
1576,3488,9163,9032,2790,4671
6394,191,4236,9554,8936,5911
3904,2743,4503,4626,2007,6851
8978,4705,5382,9429,449,7489
9360,6153,2070,8135,8256,7523
4896,2125,6297,3806,2385,8738
2636,5979,96,3580,8762,4412
1651,1657,2465,5917,3795,2214
7957,8535,829,7085,6206,1760
3178,2169,839,5868,9233,6529
7994,4199,8155,742,2742,2536
5127,4602,1113,3758,9920,8918
6932,2580,7688,3112,822,6084
1472,949,1601,3992,4023,5473
9948,9188,3570,6353,2805,8920
8255,1753,6370,1862,7605,8979
3075,5039,7925,9078,5837,2785
6873,5983,8005,788,2291,3231
1985,9229,3892,5006,439,469
9960,2042,1990,4798,938,1091
339,2807,1299,7293,9359,2291
3246,5959,9938,6847,4607,6045
1487,5274,98,7861,1256,901
350,8619,4662,5199,669,3483
9582,6524,7186,4815,6902,2144
3330,764,1225,4069,1320,9222
1098,8609,2834,9002,651,899
5334,2174,6730,6999,452,7263
8304,1268,8810,4743,6022,9670
4565,7503,4809,9836,6043,7439
3591,1198,4816,3818,7453,5312
151,9118,1012,870,2626,9766
488,9236,7465,2428,3532,5725
7650,2229,954,2613,5825,6372
9440,860,533,9164,7008,6200
8962,4658,9001,7514,8191,8338
1675,833,2767,8691,6456,1016
1497,3681,8870,7985,83,9120
TAHUN 2022,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
4509,8730,4851,3204,677,6292
8895,1420,7479,4757,9220,9438
8270,2344,5271,7500,8735,6782
4526,3796,5631,5002,308,2789
2651,7422,9090,9299,6493,4076
630,3690,3867,2936,5151,3795
2756,623,949,7760,5070,9420
7240,5009,7008,6365,4670,9488
9011,4123,3243,4719,834,3618
1441,7084,8761,9063,1653,3169
7788,3606,6415,4329,8221,7212
660,7115,2949,5087,9230,4027
7900,959,2605,5530,2113,6750
8554,3293,3115,9883,3355,9327
1679,897,2686,1678,3825,6015
3803,384,4450,8737,6203,5006
9104,22,1779,580,2787,7339
3677,7132,6190,7245,3705,5925
9633,6124,1894,8137,4673,3240
3791,966,7278,1635,4448,8738
1798,2903,6793,214,8494,9265
4162,1071,9776,5658,3117,6872
5873,2332,2119,6144,1064,1417
7482,2264,478,2862,948,2396
141,7068,1794,8367,1961,9077
3593,7185,4592,8016,4246,6480
2523,5216,4771,3914,7056,3602
3046,5174,3959,5438,4216,6764
2554,1213,2121,8761,831,2842
9563,2504,9813,8289,6672,2309
6805,1911,2017,9804,4594,3681
9836,9747,4019,4629,640,363
1026,7234,181,6426,1652,920
6008,6538,3882,7413,1881,1732
3278,4912,3875,8829,1995,4382
3527,4175,8250,6541,4104,1201
2035,6877,4026,7346,687,4794
236,8637,5843,4901,3210,1208
9386,5411,8806,3054,7166,6657
2376,5880,7990,7194,3707,4683
480,5541,3495,2511,375,8134
2969,2107,5980,7820,565,9422
3300,9284,3804,8421,387,7824
1345,9668,4733,986,8506,5562
8842,5648,3760,6920,4607,9934
7850,3705,9327,1243,5488,3194
9323,698,7067,4689,6702,2179
7293,3876,4739,9214,2463,2991
6744,8572,7521,1016,5867,4278
6582,4556,7621,2355,406,8471
3317,8395,4475,2512,3162,6126
1277,8498,3306,2357,913,787
TAHUN 2023,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
7247,8468,2954,4006,6689,4791
1872,6183,2662,9356,8380,7208
4005,3297,7654,3850,4174,9240
7363,3574,9396,5035,6693,5562
521,5604,4585,1513,9215,7123
865,5619,6117,9858,8834,5331
2251,3805,9973,5734,1047,5009
7301,9892,6295,9079,8367,6337
5445,1673,2030,2642,4018,1579
7184,646,8499,7820,4133,3697
6368,413,2083,1971,9320,4782
7248,8415,4627,5170,3802,7587
9236,655,3101,5964,4453,6814
2049,574,4653,3938,2985,1429
7859,8266,3678,8699,9213,169
3325,4781,8028,413,7911,6546
5628,9571,4237,2823,9064,4739
627,7368,3017,8573,121,5098
903,7095,6371,1600,8287,4710
9301,2490,1295,1498,8674,5983
9146,6022,2701,7862,4608,8177
9545,492,5124,6409,626,7089
4178,7752,4611,1337,8949,3591
6952,1890,3458,2919,4466,5601
586,8124,3462,7858,1277,5334
6617,7153,4502,721,9372,2830
1580,3044,703,5356,1603,6025
7348,1653,3461,5604,5247,874
9097,2416,6923,8788,8651,2703
4361,7430,954,1384,8690,9622
6840,2367,5227,7303,9734,421
1479,2001,6755,3629,5543,9476
2494,8310,503,6937,4069,508
8173,3847,5277,536,6375,2704
4546,8396,3684,5433,851,1367
2070,6907,2393,8628,9053,3274
7545,9780,9446,5968,2800,7627
9987,1265,791,3144,7595,1906
6547,4278,8159,7934,2440,9083
2161,5640,1272,420,8268,3841
4284,2604,9595,8302,148,2542
733,7659,1410,3790,8954,26
6908,5087,6862,7970,5480,2849
4514,2946,4234,9471,2616,7245
1081,8805,3138,8092,9076,5850
6212,2060,7526,432,7757,4608
5621,5801,9969,5495,838,8507
8064,9740,195,6922,5019,2853
7441,284,7076,6632,1068,4904
8311,4283,1748,6084,7620,4011
2308,667,9716,7079,3107,6946
275,5339,8891,4203,7814,5748
2023,9565,5186,2005,6737,9678
TAHUN 2024,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
8671,1659,3387,9677,8948,2712
9764,5702,6376,3300,1057,6143
2706,7683,312,8157,9133,4368
5831,3253,9324,7563,4935,3018
1160,1307,9629,6487,8931,2519
5760,5391,4438,658,5522,9934
3244,4189,6943,3891,5003,2837
250,8612,4881,6217,4023,7982
3559,2207,9867,4857,6084,3941
7880,1836,1542,7483,2534,8011
7846,2494,6229,3470,7055,5997
9800,1242,162,6950,3094,2236
9756,7617,7299,6882,1978,4293
3069,8447,2072,9714,6740,1407
2966,7101,9450,6388,8728,4465
9590,121,6287,3662,5027,7830
2503,314,7989,9148,5890,4410
8228,3035,2801,9630,1393,6354
951,3315,5187,2585,7412,4124
8293,3052,6438,2089,2322,9147
946,3352,3996,5877,838,9353
763,3260,7624,6971,4916,9447
7076,3540,1630,4887,6704,3226
5752,8892,8138,340,9012,7496
9089,3723,8350,6008,9862,1920
3605,9149,4492,225,7956,8040
3968,5290,6104,8029,353,7609
3520,7262,725,2442,3935,5267
3326,5805,1634,8450,636,6182
7568,2944,7892,4020,9656,3212
5838,378,6760,8456,3965,1280
8296,7122,4533,461,9070,1393
5985,549,8074,963,5305,1490
3843,6519,498,7267,9057,7116
5976,8461,9647,2480,6091,4525
3401,4982,2774,9690,6421,8508
5213,3070,5714,3247,7388,4194
3019,6829,9544,4036,7401,9792
2234,5182,3140,732,4577,8098
6411,3486,9560,7336,2852,390
7571,8034,4240,768,6053,5671
7150,749,9079,1694,7913,1359
1296,6409,3113,5457,3071,1403
1979,5214,1362,4283,181,5260
7938,8252,9581,453,9244,8608
8298,9964,1380,2779,9257,4074
905,5769,3868,8650,6593,4900
1838,7161,8423,3054,2349,896
195,9338,5569,2601,5492,2865
1420,6254,9221,8070,3924,2538
5262,8135,4598,3756,7085,6159
5760,279,9006,141,6393,2704
TAHUN 2025,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
8962,4578,3045,2953,6474,9781
9873,8336,5046,6293,682,3900
3572,7344,2576,9097,5282,4689
7610,7402,6964,2301,8565,8648
174,9220,3858,9081,676,4705
8224,194,3116,1042,491,2879
6901,5216,1695,8506,4492,7583
9064,6848,919,5171,8785,1422
6584,5958,3074,1808,7796,3573
6364,8496,9619,1765,305,4802
7188,2067,9378,3424,4964,540
9793,6255,3723,8437,516,4931
9182,5223,6818,2591,7532,1065
3976,7020,9150,1744,5807,373
8961,4645,9761,6627,8941,3832
7680,2766,4308,6239,7062,3237
5161,1935,2681,8313,3786,506
6460,9516,3650,19,1361,2526
6353,5075,2619,8317,5252,3570
6296,9157,1839,5363,1085,2791
673,7168,654,2713,6495,8694
6112,7675,5721,2484,297,6948
9890,4730,7631,5912,9880,4264
2194,3122,4871,1228,9447,9672
621,6403,277,641,872,2086
8400,2241,3683,6204,2856,6021
7712,9345,1120,1980,533,3890
4706,1434,2047,7262,8052,4986
515,6774,3482,9355,4299,2951
8164,5753,7228,4087,470,2625
5276,7390,4151,2481,915,8544
6252,9732,5813,2658,5201,385
73,7402,324,2914,4247,1643
6210,5498,8710,1335,1489,9077
92,7613,4227,9700,363,6017
1756,2629,9825,5114,588,8769
4576,9644,8348,5782,7826,9849
5895,9829,4214,8708,8259,5648
9103,3804,27,3862,8717,6639
9044,887,7179,2808,9467,4961
487,593,3435,2793,7013,8741
7463,9359,8250,376,9202,4063
489,2843,3752,8644,2962,6937
8445,2429,5879,9158,5364,2190
1452,380,5277,1637,1499,8992
2263,6987,7070,1567,9804,5902
1026,9651,3872,9680,1825,6834
2243,1563,5170,8221,7896,9231
1885,6349,4308,3934,7993,371
6865,3894,6650,1321,,
